,filename,region_shape_attributes
0,frame-0.jpg,"{""name"":""point"",""cx"":51,""cy"":50}"
1,frame-1.jpg,"{""name"":""point"",""cx"":51,""cy"":50}"
2,frame-2.jpg,"{""name"":""point"",""cx"":51,""cy"":51}"
3,frame-3.jpg,"{""name"":""point"",""cx"":50,""cy"":51}"
4,frame-4.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
5,frame-5.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
6,frame-6.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
7,frame-7.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
8,frame-8.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
9,frame-9.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
10,frame-10.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
11,frame-11.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
12,frame-12.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
13,frame-13.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
14,frame-14.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
15,frame-15.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
16,frame-16.jpg,"{""name"":""point"",""cx"":50,""cy"":51}"
17,frame-17.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
18,frame-18.jpg,"{""name"":""point"",""cx"":50,""cy"":51}"
19,frame-19.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
20,frame-20.jpg,"{""name"":""point"",""cx"":49,""cy"":50}"
21,frame-21.jpg,"{""name"":""point"",""cx"":50,""cy"":51}"
22,frame-22.jpg,"{""name"":""point"",""cx"":50,""cy"":51}"
23,frame-23.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
24,frame-24.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
25,frame-25.jpg,"{""name"":""point"",""cx"":50,""cy"":51}"
26,frame-26.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
27,frame-27.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
28,frame-28.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
29,frame-29.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
30,frame-30.jpg,"{""name"":""point"",""cx"":50,""cy"":51}"
31,frame-31.jpg,"{""name"":""point"",""cx"":50,""cy"":51}"
32,frame-32.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
33,frame-33.jpg,"{""name"":""point"",""cx"":50,""cy"":51}"
34,frame-34.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
35,frame-35.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
36,frame-36.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
37,frame-37.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
38,frame-38.jpg,"{""name"":""point"",""cx"":50,""cy"":51}"
39,frame-39.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
40,frame-40.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
41,frame-41.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
42,frame-42.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
43,frame-43.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
44,frame-44.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
45,frame-45.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
46,frame-46.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
47,frame-47.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
48,frame-48.jpg,"{""name"":""point"",""cx"":49,""cy"":50}"
49,frame-49.jpg,"{""name"":""point"",""cx"":50,""cy"":51}"
50,frame-50.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
51,frame-51.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
52,frame-52.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
53,frame-53.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
54,frame-54.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
55,frame-55.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
56,frame-56.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
57,frame-57.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
58,frame-58.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
59,frame-59.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
60,frame-60.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
61,frame-61.jpg,"{""name"":""point"",""cx"":50,""cy"":50}"
